Title,Description,Address,Price,Beds,Baths,Toilets,Date_Info
Brand New 2 Bedrooms Terrace In Orchid Road After Round About,2 BEDROOM TERRACE FOR RENT,Orchid Road After Round About Lekki Phase 2 Lekki Lagos,"₦4,000,000",2,2,3,Updated Today
Luxury 4 Bedroom Terrace Duplex Off Freedom Way Lekki Phase One,4 BEDROOM TERRACE FOR RENT,Freedom Way Lekki Phase One Lekki Phase 1 Lekki Lagos,"₦23,000,000",4,4,5,Updated Today
Tastefully Furnished 2 Bedroom Waterfront Apartment,2 BEDROOM FLAT & APARTMENT For Rent,Admiralty Road Lekki Phase 1 Lagos,"₦25,000,000",2,2,3,"Updated 18 Jun 2026, Added 08 Jun 2026"
Fully Furnished 5 Bedrooms Fully Detached Duplex In Onikoyi Banana Island,5 BEDROOM DUPLEX FOR RENT,Banana Island Road Banana Island Ikoyi Lagos,"₦65,000,000",5,5,6,Updated Today
4 Bedrooms Terrace Duplex In Ikate Lekki,4 BEDROOM TERRACE FOR RENT,Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,"₦15,000,000",4,4,5,Updated Today
Brand New 4 Bedroom Fully Detached Duplex In Ikota Lekki,4 BEDROOM DUPLEX FOR RENT,Ikota Lekki Phase One Ikota Lekki Lagos,"₦17,000,000",4,4,5,Updated Today
2 Bedroom Apartment For In Ikate Lekki,2 BEDROOM BLOCK OF FLATS FOR RENT,Ikate Lekki Phase One Lekki Phase 1 Lekki Lagos,"₦12,000,000",2,2,3,Updated Today
Luxury 4bedroom Fully Detached Duplex For Sale In Chevron,4 BEDROOM DUPLEX FOR RENT,Chevron Lekki Chevron Drive Lekki Lagos,"₦10,000,000",4,4,5,Updated Today
Fully Furnished And Serviced 5 Bedrooms Duplex On Banana Island Road,5 BEDROOM DUPLEX FOR RENT,Banana Island Road Ikoyi Ikoyi Ikoyi Lagos,"₦65,000,000",5,5,6,Updated Today
Luxury 4 Bedrooms Semi Detached House In Orchid,4 BEDROOM SEMI DETACHED DUPLEX FOR RENT,Orchid Road Lekki Lekki Phase 2 Lekki Lagos,"₦8,000,000",4,4,5,Updated Today
Luxury 4 Bedroom Fully Detached Duplex In Idado,4 BEDROOM DUPLEX FOR RENT,Idado Lekki Idado Lekki Lagos,"₦20,000,000",4,4,5,Updated Today
Brand Service 2 Bedrooms Apartment,2 BEDROOM BLOCK OF FLATS FOR RENT,Ologolo Lekki Ologolo Lekki Lagos,"₦7,000,000",2,2,3,Updated Today
"Charming & Stunning 5 Bedroom Detached Duplex With Cinema, Gym, Pool And Boys' Quarter",5 BEDROOM DETACHED DUPLEX For Sale,Ologolo Lekki Lagos,"₦550,000,000",5,5,6,"Updated 21 Apr 2026, Added 04 Mar 2026"
1 Bedroom Shortlet In Osapa London,1 BEDROOM FLAT & APARTMENT FOR RENT,Osapa London Lekki Lagos,"₦6,000,000/year",1,1,1,Updated Today
Self Service 4 Bedrooms Duplex In Ikate Lekki,4 BEDROOM DUPLEX FOR RENT,Ikate Lekki Lekki Phase 1 Lekki Lagos,"₦13,000,000",4,4,5,Updated Today
"Luxury 3 Bedroom Apartment With Gym, Pool In Victoria Island",3 BEDROOM BLOCK OF FLATS FOR RENT,Victoria Island Victoria Island Victoria Island Lagos,"₦25,000,000",3,3,4,Updated Today
Fully Serviced 3 Bedrooms Apartment In Lekki Phase One,3 BEDROOM BLOCK OF FLATS FOR RENT,Main Lekki Phase One Lekki Phase 1 Lekki Lagos,"₦20,000,000",3,3,4,Updated Today
Self Compound 4 Bedrooms Semi Detached Duplex In Ikate Lekki,4 BEDROOM DUPLEX FOR RENT,Off Freedom Way Ikate Lekki Lekki Phase 1 Lekki Lagos,"₦24,000,000",4,4,5,Updated Today
Luxury 4 Bedroom Terrace Duplex In Ikate Lekki,4 BEDROOM TERRACE FOR RENT,Kunsela Ikate Lekki Phase 1 Lekki Lagos,"₦20,000,000",4,4,5,Updated Today
Luxury 5 Bedroom Fully Duplex Duplex In Pinnock Beach Osapa,5 BEDROOM DUPLEX FOR RENT,Pinnock Beach Osapa Lekki Lekki Phase 1 Lekki Lagos,"₦25,000,000",5,5,6,Updated Today
Luxury 4 Bedroom Fully Detached Duplex With Bq,4 BEDROOM DUPLEX FOR RENT,Ikota Lekki Ikota Lekki Lagos,"₦15,000,000",4,4,5,Updated Today
Brand New 4 Bedrooms Semi Detached Duplex For Rent In Ajah,4 BEDROOM DUPLEX FOR RENT,Atlantic Nominee General Paint Abraham Adesanya Ajah Lagos,"₦7,000,000",4,4,5,Updated Today
"28 Units Of 3 Bedrooms Apartment With Bq, Pool,gym In Old Ikoyi",3 BEDROOM BLOCK OF FLATS FOR RENT,Old Ikoyi Old Ikoyi Ikoyi Lagos,"₦50,000,000",3,3,4,Updated Today
Brand New 5 Bedrooms Fully Detached Duplex With Bq In Orchids,5 BEDROOM DUPLEX FOR RENT,Orchid Road Lekki Lekki Phase 2 Lekki Lagos,"₦15,000,000",5,5,6,Updated Today
Luxury 3 Bedroom Apartment With Excellent Views +bq+furniture+swimming Pool+gym Etc,3 BEDROOM BLOCK OF FLATS For Rent,Off Awolowo Road Ikoyi Ikoyi South West Lagos,"$40,000",3,3,4,"Updated 22 Jun 2026, Added 09 Jun 2026"
Fully Furnished 4 Bedrooms Fully Detached Duplex In Orchid,4 BEDROOM DUPLEX FOR RENT,Orchid Lekki Lekki Phase 2 Lekki Lagos,"₦13,000,000",4,4,5,Updated Today
Brand New Fully Serviced 3 Bedrooms Apartment With Bq In Lekki Phase One,3 BEDROOM BLOCK OF FLATS FOR RENT,Main Lekki Phase One Lekki Phase 1 Lekki Lagos,"₦22,500,000",3,3,4,Updated Today
Brand New 4 Bedrooms Terrace Duplex In Ajah,4 BEDROOM DUPLEX FOR RENT,Abraham Adesanya Abraham Adesanya Ajah Lagos,"₦6,000,000",4,4,5,Updated Today
2 Bedrooms Apartment Lekki Right,2 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Right Lekki Phase 1 Lekki Lagos,"₦8,000,000",2,2,3,Updated Today
Luxury Brand New 5 Bedroom Fully Detached Duplex With Pool And Bq,5 BEDROOM DUPLEX FOR RENT,Chevron Lekki Chevron Drive Lekki Lagos,"₦25,000,000",5,5,6,Updated Today
Commercial 8 Bedroom Duplex With 2 Rooms Bq Facing The Express,8 BEDROOM DUPLEX FOR RENT,Ajah Lagos Ajah Ajah Lagos,"₦17,000,000",8,8,10,Updated Today
100 Sqm Of Office Space On Ground Floor For Rent In Victoria Island,OFFICE FOR RENT,Victoria Island Adeola Hopewell Victoria Island Lagos,"₦17,000,000",,,,Updated Today
2 Bedroom Apartment In Elanganza Gardens Opposite Vgc,2 BEDROOM BLOCK OF FLATS FOR RENT,Opposite Vgc Ajah Ajah Ajah Lagos,"₦4,500,000",2,2,3,Updated Today
4 Bedrooms Semi Detached Duplex For Rent In Ologolo,4 BEDROOM DUPLEX FOR RENT,Ologolo Lekki Ologolo Lekki Lagos,"₦11,000,000",4,4,5,Updated Today
Luxury 3 Bedroom Apartment Bq Pool Tennis Court Gym Etc,3 BEDROOM FLAT & APARTMENT For Sale,Old Ikoyi Lagos,"₦749,000,000",3,3,4,"Updated 21 Jun 2026, Added 11 May 2026"
4 Bedrooms Semi Detached Duplex In Oral Estate,4 BEDROOM SEMI DETACHED DUPLEX FOR RENT,Oral Estate Second Toll Gate Oral Estate Lekki Lagos,"₦11,000,000",4,4,5,Updated Today
Brand New 5 Bedrooms Fully Detached Duplex In Orchid Before Round About,5 BEDROOM DUPLEX FOR RENT,Orchid Road Before Round About Lekki Phase 2 Lekki Lagos,"₦15,000,000",5,5,6,Updated Today
Water Front Fully Serviced And Furnished 3 Bedroom Apartment In Banana Island Ikoyi,3 BEDROOM BLOCK OF FLATS FOR RENT,Banana Island Ikoyi Banana Island Ikoyi Lagos,"₦60,000,000",3,3,4,Updated Today
2 Bedrooms Serviced Apartment In Chevron Lekki,2 BEDROOM BLOCK OF FLATS FOR RENT,Chevron Drive Chevron Drive Lekki Lagos,"₦6,000,000",2,2,3,Updated Today
"5 Bedrooms Duplex With 7 Bedrooms Bq With Gym, Pool For Lease",10 BEDROOM DUPLEX FOR RENT,Ikoyi Ikoyi Ikoyi Lagos,"₦200,000,000",10,10,10,Updated Today
Service 2 Bedrooms Apartment In Ikota Lekki,2 BEDROOM BLOCK OF FLATS FOR RENT,Ikota Lekki Ikota Lekki Lagos,"₦4,500,000",2,2,3,Updated Today
Self Compound 3 Bedrooms Semi Detached Duplex In Ikota,3 BEDROOM SEMI DETACHED DUPLEX FOR RENT,Ikota School Lekki Ikota Lekki Lagos,"₦7,000,000",3,3,4,Updated Today
Luxury 4 Bedrooms Massionate On 21st Floor In Bourdillon Ikoyi,4 BEDROOM MAISONETTE FOR RENT,Bourdillon Bourdillon Ikoyi Lagos,"$150,000",4,4,5,Updated Today
4 Bedroom Terrace Duplex,4 BEDROOM TERRACE FOR RENT,Lekki Phase 1 Lekki Lagos,"₦40,000,000/year",4,4,5,"Updated 22 Jun 2026, Added 22 Jun 2026"
"Decent Spacious 5 Bedroom Duplex With Modern Features, Cctv, Good Proximity In A Very Serene And Secure Environment",5 BEDROOM DUPLEX FOR RENT,Platinum Ikate Lekki Lagos,"₦18,000,000/year",5,5,6,"Updated 22 Jun 2026, Added 29 May 2026"
Spacious Room Self Contain With Modern Features In A Good Environment With Proximity To The Island,SELF CONTAIN FOR RENT,Off Costain Road Yaba Lagos,"₦1,500,000/year",,1,1,"Updated 22 Jun 2026, Added 31 May 2026"
Luxury 5th Floor Waterfront 3 Bedroom Apartment Bq Pool Tennis Court Gym Squash Etc,3 BEDROOM FLAT & APARTMENT For Rent,Banana Island Estate Banana Island Ikoyi Lagos,"₦40,000,000",3,3,4,"Updated 21 Jun 2026, Added 24 Apr 2026"
"Decent Room Self Contain With Modern Features, Wardrobe, Cabinets In A Serene Environment With Proximity To Island",SELF CONTAIN FOR RENT,"New Garage, Close To Berger Oworonshoki Gbagada Lagos","₦1,200,000/year",,1,1,"Updated 22 Jun 2026, Added 31 May 2026"
Newly Built Spacious 3 Bedroom Apartment With Modern Features In A Serene And Secure Environment,3 BEDROOM FLAT & APARTMENT FOR RENT,Off Adekunle Kuye Via Agbonyin Surulere Lagos,"₦5,500,000/year",3,4,4,"Updated 22 Jun 2026, Added 31 May 2026"
"Very Spacious Mini Flat With Modern Features, 2b&t, Fitted Cabinets With Extra Kitchen Storage, Serene Environment",1 BEDROOM MINI FLAT FOR RENT,Ologolo Lekki Lagos,"₦4,500,000/year",1,2,2,"Updated 22 Jun 2026, Added 31 May 2026"
Furnished 4 Bedroom Terrace House,4 BEDROOM TERRACE FOR RENT,Off Freedom Way Lekki Phase 1 Lekki Lagos,"₦25,000,000/year",4,4,5,"Updated 22 Jun 2026, Added 11 Jun 2026"
3 Bedroom Furnished Apartments (annual Lease),3 BEDROOM BLOCK OF FLATS FOR RENT,3 New Creation Street Lekki Phase One Lekki Phase 1 Lekki Lagos,"₦23,500,000/year",3,3,4,"Updated 22 Jun 2026, Added 31 May 2026"
2 Bedroom Luxury Apartment,2 BEDROOM BLOCK OF FLATS FOR RENT,"Ajayi Apata Estate, Lekki Epe Expressway Eleko Ibeju Lekki Lagos","₦4,500,000/year",2,3,3,"Updated 22 Jun 2026, Added 08 May 2026"
"Office Space For Rent At Onikan, Lagos Island",OFFICE FOR RENT,"Onikan, Lagos Island Onikan Lagos Island Lagos","₦1,200,000",,,,"Updated 22 Jun 2026, Added 05 May 2026"
House A2 Safari Court Estate,5 BEDROOM DETACHED DUPLEX FOR RENT,Safari Court Estate House A2 Idu Industrial Abuja Phase 3 Abuja,"₦22,000,000/year",5,5,5,"Updated 22 Jun 2026, Added 28 Oct 2024"
Spacious Studio Apartment,1 BEDROOM STUDIO APARTMENT FOR RENT,Bakare Estate Agungi Lekki Lagos,"₦3,000,000/year",1,1,1,"Updated 22 Jun 2026, Added 03 Jun 2026"
Don’t Miss This Promo Own Acres Of Land At Airview Estate,RESIDENTIAL LAND For Sale,Ayetoro Ibejulekki Behind The International Airport Ibeju Lekki Lagos,"₦25,000,000",,,,"Updated 22 Jun 2026, Added 10 Oct 2025"
Pristine Clean Studio Apartment,STUDIO APARTMENT FOR RENT,Bakare Estate Agungi Lekki Lagos,"₦2,000,000/year",,1,1,"Updated 22 Jun 2026, Added 03 Jun 2026"
3bed Apartment For Rent,3 BEDROOM SELF CONTAIN FOR RENT,Lekki Phase1 Lekki Phase 1 Lekki Lagos,"₦23,000,000",3,3,4,"Updated 22 Jun 2026, Added 25 May 2026"
3 Bed Furnished Apartment For Rent,3 BEDROOM SELF CONTAIN FOR RENT,Lekki Phase 1 Lekki Lagos,"₦24,000,000",3,3,4,"Updated 22 Jun 2026, Added 25 May 2026"
3 Bedroom Apartment,3 BEDROOM SELF CONTAIN FOR RENT,Oniru Victoria Island Lagos,"₦20,000,000",3,3,4,"Updated 22 Jun 2026, Added 26 May 2026"
3bedroom Apartment For Rent,3 BEDROOM SELF CONTAIN FOR RENT,Lekki Phase 1 Lekki Lagos,"₦30,000,000",3,3,4,"Updated 22 Jun 2026, Added 28 May 2026"
3 Bedroom,3 BEDROOM SELF CONTAIN FOR RENT,Lekki Phase 1 Lekki Lagos,"₦30,000,000",3,3,4,"Updated 22 Jun 2026, Added 28 May 2026"
2 Bed Apartment,2 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Phase1 Lekki Phase 1 Lekki Lagos,"₦15,000,000/year",2,2,3,"Updated 22 Jun 2026, Added 24 May 2026"
