Title,Address,Property Type,Location,State,Bedrooms,Bathrooms,Toilets,Date Listed,Prices
Brand New 4 Bedrooms Terrace Duplex In Ajah,Abraham Adesanya Abraham Adesanya Ajah Lagos,Terraced Duplex,Ajah,Lagos,4,4,5.0,2026-06-23,6000000
2 Bedrooms Apartment Lekki Right,Lekki Right Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-06-23,8000000
Luxury Brand New 5 Bedroom Fully Detached Duplex With Pool And Bq,Chevron Lekki Chevron Drive Lekki Lagos,Terraced Duplex,Lekki,Lagos,5,5,6.0,2026-06-23,25000000
Commercial 8 Bedroom Duplex With 2 Rooms Bq Facing The Express,Ajah Lagos Ajah Ajah Lagos,Terraced Duplex,Ajah,Lagos,8,8,10.0,2026-06-23,17000000
100 Sqm Of Office Space On Ground Floor For Rent In Victoria Island,Victoria Island Adeola Hopewell Victoria Island Lagos,Commercial Property,Victoria Island,Lagos,0,0,0.0,2026-06-23,17000000
2 Bedroom Apartment In Elanganza Gardens Opposite Vgc,Opposite Vgc Ajah Ajah Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,2,2,3.0,2026-06-23,4500000
4 Bedrooms Semi Detached Duplex For Rent In Ologolo,Ologolo Lekki Ologolo Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-06-23,11000000
4 Bedrooms Semi Detached Duplex In Oral Estate,Oral Estate Second Toll Gate Oral Estate Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,5.0,2026-06-23,11000000
Brand New 5 Bedrooms Fully Detached Duplex In Orchid Before Round About,Orchid Road Before Round About Lekki Phase 2 Lekki Lagos,Terraced Duplex,Lekki,Lagos,5,5,6.0,2026-06-23,15000000
Water Front Fully Serviced And Furnished 3 Bedroom Apartment In Banana Island Ikoyi,Banana Island Ikoyi Banana Island Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2026-06-23,60000000
2 Bedrooms Serviced Apartment In Chevron Lekki,Chevron Drive Chevron Drive Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-06-23,6000000
Service 2 Bedrooms Apartment In Ikota Lekki,Ikota Lekki Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-06-23,4500000
Self Compound 3 Bedrooms Semi Detached Duplex In Ikota,Ikota School Lekki Ikota Lekki Lagos,Terraced Duplex,Lekki,Lagos,3,3,4.0,2026-06-23,7000000
Luxury 4 Bedrooms Massionate On 21st Floor In Bourdillon Ikoyi,Bourdillon Bourdillon Ikoyi Lagos,Other,Ikoyi,Lagos,4,4,5.0,2026-06-23,150000
4 Bedroom Terrace Duplex,Lekki Phase 1 Lekki Lagos,Self Contain / Shared Room,Lekki,Lagos,4,4,5.0,2026-06-22,40000000
"Decent Spacious 5 Bedroom Duplex With Modern Features, Cctv, Good Proximity In A Very Serene And Secure Environment",Platinum Ikate Lekki Lagos,Terraced Duplex,Lekki,Lagos,5,5,6.0,2026-05-29,18000000
Spacious Room Self Contain With Modern Features In A Good Environment With Proximity To The Island,Off Costain Road Yaba Lagos,Standard Flat / Apartment,Yaba,Lagos,0,1,1.0,2026-05-31,1500000
Luxury 5th Floor Waterfront 3 Bedroom Apartment Bq Pool Tennis Court Gym Squash Etc,Banana Island Estate Banana Island Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2026-04-24,40000000
"Decent Room Self Contain With Modern Features, Wardrobe, Cabinets In A Serene Environment With Proximity To Island","New Garage, Close To Berger Oworonshoki Gbagada Lagos",Standard Flat / Apartment,Gbagada,Lagos,0,1,1.0,2026-05-31,1200000
Newly Built Spacious 3 Bedroom Apartment With Modern Features In A Serene And Secure Environment,Off Adekunle Kuye Via Agbonyin Surulere Lagos,Detached / Semi-Detached Duplex,Surulere,Lagos,3,4,4.0,2026-05-31,5500000
"Very Spacious Mini Flat With Modern Features, 2b&t, Fitted Cabinets With Extra Kitchen Storage, Serene Environment",Ologolo Lekki Lagos,Mini Flat,Lekki,Lagos,1,2,2.0,2026-05-31,4500000
Furnished 4 Bedroom Terrace House,Off Freedom Way Lekki Phase 1 Lekki Lagos,Self Contain / Shared Room,Lekki,Edo,4,4,5.0,2026-06-11,25000000
3 Bedroom Furnished Apartments (annual Lease),3 New Creation Street Lekki Phase One Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,4.0,2026-05-31,23500000
2 Bedroom Luxury Apartment,"Ajayi Apata Estate, Lekki Epe Expressway Eleko Ibeju Lekki Lagos",Detached / Semi-Detached Duplex,Epe,Lagos,2,3,3.0,2026-05-08,4500000
"Office Space For Rent At Onikan, Lagos Island","Onikan, Lagos Island Onikan Lagos Island Lagos",Commercial Property,Lagos Island,Lagos,0,0,0.0,2026-05-05,1200000
House A2 Safari Court Estate,Safari Court Estate House A2 Idu Industrial Abuja Phase 3 Abuja,Terraced Duplex,3,Abuja,5,5,5.0,2024-10-28,22000000
Spacious Studio Apartment,Bakare Estate Agungi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-06-03,3000000
Pristine Clean Studio Apartment,Bakare Estate Agungi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,1,1.0,2026-06-03,2000000
3bed Apartment For Rent,Lekki Phase1 Lekki Phase 1 Lekki Lagos,Standard Flat / Apartment,Lekki,Lagos,3,3,4.0,2026-05-25,23000000
3 Bed Furnished Apartment For Rent,Lekki Phase 1 Lekki Lagos,Standard Flat / Apartment,Lekki,Lagos,3,3,4.0,2026-05-25,24000000
3 Bedroom Apartment,Oniru Victoria Island Lagos,Standard Flat / Apartment,Victoria Island,Lagos,3,3,4.0,2026-05-26,20000000
3bedroom Apartment For Rent,Lekki Phase 1 Lekki Lagos,Standard Flat / Apartment,Lekki,Lagos,3,3,4.0,2026-05-28,30000000
3 Bedroom,Lekki Phase 1 Lekki Lagos,Standard Flat / Apartment,Lekki,Lagos,3,3,4.0,2026-05-28,30000000
2 Bed Apartment,Lekki Phase1 Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,3.0,2026-05-24,15000000
Tastefully 2 Bedroom,Lekki Phase 1 Lekki Lagos,Standard Flat / Apartment,Lekki,Lagos,2,2,3.0,2026-05-24,10000000
3 Bedroom For Rent,Lekki Phase 1 Lekki Lagos,Terraced Duplex,Lekki,Lagos,3,3,4.0,2026-05-25,25000000
2 Bedroom,Egbeda Egbe Idimu Lagos,Detached / Semi-Detached Duplex,Egbe Idimu,Lagos,2,3,3.0,2026-06-02,1500000
Premium 4 Bedroom Apartment X 2yrs Minimum,1004 Estate Victoria Island 1004 Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,4,3,4.0,2026-05-20,18000000
