Title,Address,Property Type,Location,State,Bedrooms,Bathrooms,Toilets,Date Listed,Prices
2 Bedroom Apartment,Nasco Estate Satellite Town Amuwo Odofin Lagos,Detached / Semi-Detached Duplex,Amuwo Odofin,Lagos,2,2,2.0,2026-04-10,3000000
3 Bedroom Apartment In An Estate,"In An Estate @ Sabo Alagomeji, Yaba Alagomeji Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,3,0,0.0,2026-06-10,6000000
2 Bedroom Flat,Little Road Sabo Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,1.0,2026-04-12,3000000
An Executive Room Self Contained,"Off Market Street, Shomolu Lagos",Detached / Semi-Detached Duplex,Shomolu,Lagos,1,0,0.0,2026-03-31,1100000
Newly Built Room Self Contained,Off Apata Str Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,0,0.0,2026-05-05,1300000
Newly Built Room Self Containtained,Morocco Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,1.0,2026-03-26,2000000
Spacious 2 Bedroom Flat,Sholuyi Soluyi Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,2,2,2.0,2026-03-30,5500000
3 Bedroom Flat,Off Aina Street Berger Ojodu Lagos,Detached / Semi-Detached Duplex,Ojo,Lagos,3,3,3.0,2026-04-10,3000000
Room Self Contained,Abule Ijesha Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,0,0.0,2026-04-07,900000
Massive And Standard Room Self Contained,"Off Shipeolu Street, Shomolu Shomolu Lagos",Detached / Semi-Detached Duplex,Shomolu,Lagos,1,0,0.0,2026-03-31,800000
Standard 3 Bedroom Flat,Sunday Dejo Close Off Alhaja Sherff Palmgrove Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,3,3,3.0,2026-04-03,5000000
Newly Built Room Self Contained,Apata Str Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,0,0.0,2026-04-13,1100000
3 Bedroom Flat,Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,3,3,3.0,2026-04-16,8000000
Standard/spacious Room Self Contained,"Apata Street, Shomolu Lagos",Detached / Semi-Detached Duplex,Shomolu,Lagos,1,0,0.0,2026-04-14,1200000
Luxury 2 Bedroom Flat,Alapere Off Agboyi Road Shomolu Lagos,Luxury Apartment,Shomolu,Lagos,2,2,2.0,2026-04-15,3000000
Room Self Contained,Fadeyi Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,1.0,2026-04-18,1600000
Newly Built Executive 2 Bedroom Flat,Sabo Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2.0,2026-04-14,3500000
3 Bedroom Flat,Abule Oja Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,3,3,3.0,2026-04-10,3500000
Standard/spacious 2 Bedroom Flat,Alagomeji Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2.0,2026-04-21,5000000
Mini Flat,Sawmail Lagos Gbagada Lagos,Mini Flat,Gbagada,Lagos,1,2,2.0,2026-04-28,2500000
Newly Built Mini Flat,Pedro Road Shomolu Lagos,Mini Flat,Shomolu,Lagos,1,1,1.0,2026-04-22,2000000
Furnished Room Self Contained,Adekunle Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,0,0.0,2026-04-22,1650000
Spacious Studio Apartment,Fadipe Road Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,0,0.0,2026-04-27,800000
Roomself Contain,Pedro Road Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,0,0.0,2026-04-19,1300000
2 Bedroom Flat,Off Marocco Rd Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,2,2,2.0,2026-04-20,6500000
Roomself Contain Apartment,Alapere Off Agidi Rd Ketu Lagos,Detached / Semi-Detached Duplex,Ketu,Lagos,1,0,0.0,2026-04-20,1500000
Spacious 2 Bedroom Flat,Alagomeji Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2.0,2026-04-18,4500000
A Newly Built Standard Mini Flat,Off Estate Road Alapere Yaba Lagos,Mini Flat,Yaba,Lagos,2,2,2.0,2026-05-23,2300000
Spacious 2 Bedroom Flat,Pedro Road Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,2,2,2.0,2026-05-20,4500000
Serviced 3 Bedroom Ground Flat,"Charley Boy, Gbagada Phase 1 Gbagada Lagos",Detached / Semi-Detached Duplex,Gbagada,Lagos,3,3,3.0,2026-03-21,8500000
Newly Built Standard 1 Bedroom Flat,Oworoshoki Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,0,0.0,2026-03-21,3000000
Newly Built Mini Flat,"Market Street, Shomolu Lagos",Mini Flat,Shomolu,Lagos,1,1,1.0,2026-03-20,2500000
Luxury 3 Bedroom Apartment,Old Ikoyi Ikoyi Lagos,Luxury Apartment,Ikoyi,Lagos,3,3,3.0,2026-06-05,45000000
Newly Built Room Self Contained,Palmgroove Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,1.0,2026-03-31,1500000
Decent 3 Bedroom Flat,Ebute Metta Adekunle Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,3,2,2.0,2026-03-31,4000000
Newly Built Mini Flat,Bajulaiye Shomolu Shomolu Lagos,Mini Flat,Shomolu,Lagos,1,1,1.0,2026-03-06,2000000
Female Hostel,Abule Oja Abule Ijesha Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,1.0,2026-03-26,100000
Newly Built Room Self Contained,Morocco Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,1.0,2026-03-26,1200000
Newly Built 2 Bedroom Flat,Alagomeji Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2.0,2026-03-26,6000000
Newly Built 2 Bedroom Flat,Pedro Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,2,2,2.0,2026-01-29,4000000
Newly Built 2 Bedroom Flat,Morocco Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,2,2,2.0,2026-01-29,5000000
Newly Built Room Self Contain,Bajulaiye Shomolu Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,1.0,2026-03-02,1200000
Newly Built 2 Bedroom Flat,Morocco Shomolu Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,2,2,2.0,2026-03-10,6500000
Newly Built Room Self Contained,Onipanu Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,1.0,2026-03-26,1300000
Newly Built Room Self Contained,Ladi Lak Bariga Shomolu Lagos,Detached / Semi-Detached Duplex,Bariga,Lagos,1,1,1.0,2026-03-26,1000000
Newly Built Room Self Contain,Pedro Onipanu Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,1.0,2026-03-10,1500000
Newly Built Room Self Contain,Onipan Shomolu Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,1.0,2026-03-10,1300000
Standard Miniflat + 2 Toilets,"Alagomeji, Yaba, Lagos. Alagomeji Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,1.0,2026-06-03,1500000
Standard 3 Bedroom Apartment In An Estate,"Yaba, Lagos. Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,3,0,0.0,2026-06-07,5000000
Nice 2 Bedroom All Rooms Ensuite Apartment + Balcony,"Sabo Alagomeji, Yaba, Lagos. Alagomeji Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2.0,2026-06-09,5500000
"Fresh, Lovely & Spacious 2 Bedroom Apartment","Sabo Alagomeji, Yaba, Lagos. Alagomeji Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2.0,2026-06-11,6000000
Newly Built Mini Flat,Off Pedro Shomolu Lagos,Mini Flat,Shomolu,Lagos,3,0,0.0,2026-04-01,5000000
Spacious 3 Bedroom Flat,New Garage Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,3,3,3.0,2026-04-01,4000000
Standard Mini Flat,"Morocco Road, Surulere Lagos",Mini Flat,Surulere,Lagos,1,1,1.0,2026-03-28,3500000
Newly Renovated 3 Bedroom Flat,Ifako Gbagada Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,3,2,2.0,2026-03-30,4000000
Studio Apartment,Ifako Gbagada Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,1,0,0.0,2026-03-30,12000000
Newly Built Mini Flat,Gbagada Lagos,Mini Flat,Gbagada,Lagos,1,2,2.0,2026-03-30,2500000
Newly Built Room Self Contained,Pedro Road Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,0,0.0,2026-05-07,1300000
Newly Built Mini Flat,Off Pedro Shomolu Lagos,Mini Flat,Shomolu,Lagos,1,0,0.0,2026-05-05,2000000
Room Self Contained,Morocco Rd Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,0,0.0,2026-04-30,1300000
Newly Built 2 Bedroom Flat,Sholuyi Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,2,2,2.0,2026-04-30,5000000
Newly Built Room Self Contain,Ojuelegba Surulere Lagos,Detached / Semi-Detached Duplex,Surulere,Lagos,1,1,1.0,2026-04-13,2000000
Newly Built Mini Flat,Morocco Shomolu Lagos,Mini Flat,Shomolu,Lagos,1,1,1.0,2026-04-13,3000000
3 Bedroom Flat,Alagomeji Alagomeji Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,3,3,3.0,2026-04-20,5000000
Newly Built Room Self Contained,Pedro Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,1.0,2026-05-05,1200000
Newly Built Room Self Contain,Bajulaiye Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,1.0,2026-04-13,1000000
Newly Built 2 Bedroom Flat,Alagomeji Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2.0,2026-04-13,6500000
Spacious 3 Bedroom Flat,Adekunle Ebute Metta Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,3,2,2.0,2026-04-15,4000000
Newly Built Female Hostel,Fadeyi Jibowu Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,1.0,2026-04-15,100000
Newly Built Mini Flat,Onipan Shomolu Lagos,Mini Flat,Shomolu,Lagos,1,1,1.0,2026-03-31,3000000
Newly Built 3 Bedroom Flat,Alagomeji Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2.0,2026-04-01,10000000
Newly Built 2 Bedroom Flat,Alagomeji Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2.0,2026-05-05,5000000
Room Self Contain,Somolu Fola Agoro Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,1.0,2026-05-07,900000
Newly Built Mini Flat,Somolu Fola Agoro Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,1.0,2026-05-07,2500000
Room Self Contained,Pedro Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,1.0,2026-04-11,800000
Newly Built Mini Flat,Alagomeji Alagomeji Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,1.0,2026-05-07,3000000
Newly Built Mini Flat,Shomolu Fola Agoro Yaba Lagos,Mini Flat,Shomolu,Lagos,2,1,1.0,2026-04-09,2500000
Room Self Contain,Morocco Fola Agoro Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,1.0,2026-05-07,2000000
Standard 3 Bedroom Flat With Bq,Utako Main Utako Abuja,Detached / Semi-Detached Duplex,Utako,Abuja,3,3,3.0,2026-06-01,12000000
Newly Built Mini Flat,Alapere Off Ajili Shomolu Lagos,Mini Flat,Shomolu,Lagos,1,1,1.0,2026-03-27,2200000
Spacious 2 Bedroom Flat,East Ebute Metta Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2.0,2026-03-27,4000000
Newly Built Standard Mini Flat,"Isaac John Close, Soluyi Gbagada Lagos",Mini Flat,Gbagada,Lagos,1,1,1.0,2026-03-26,18000000
Standard Mini Flat,Osanyinpeju Akoka Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,1.0,2026-03-26,2000000
Standard Mini Flat,Sawmail Lagos Akoka Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,1.0,2026-03-27,3000000
2 Bedroom Flat On,Off Olateju Mushin Lagos Abule Ijesha Yaba Lagos,Detached / Semi-Detached Duplex,Mushin,Lagos,2,0,0.0,2026-03-25,2000000
Newly Built Room Self Contained,Morocco Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,1.0,2026-03-04,2000000
Mini Flat Apartment,Alapere Ketu Lagos,Mini Flat,Ketu,Lagos,1,1,1.0,2026-04-24,1800000
Newly Built Mini Flat,Palmgroove Ilupeju Lagos,Mini Flat,Ilupeju,Lagos,1,2,2.0,2026-03-30,2800000
Spacious Room Self Contained,Palmgrove Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,0,0.0,2026-04-04,1200000
Executive 3 Bedroom Flat,Obawale Ogba Ikeja Lagos,Detached / Semi-Detached Duplex,Ikeja,Lagos,3,0,0.0,2026-03-30,4000000
Newly Built Standard Renovated Studio Apartment,"Uba Axis, Ifako Gbagada Gbagada Lagos",Detached / Semi-Detached Duplex,Gbagada,Lagos,1,0,0.0,2026-04-05,800000
Spacious 3 Bedroom Flat + 2 Big Balconies,"Sabo Alagomeji, Yaba, Lagos. Alagomeji Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,3,0,0.0,2026-06-13,6000000
2 Bedroom Flat,Ifako Gbagada Lagos Ifako Gbagada Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,2,2,2.0,2026-04-02,5000000
Standard And Spacious Roomself Contain,Akoka Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,0,0.0,2026-04-06,800000
Luxurious 4bedroom Semidetached Duplex,Orchid Road Lekki Lagos Before Roundabout Orchid Lekki Lagos,Terraced Duplex,Lekki,Lagos,4,4,4.0,2026-05-27,11000000
Roomself Contain,Obanikoro Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,0,0.0,2026-04-02,800000
Apartment,Adegboyega Ilupeju Lagos,Detached / Semi-Detached Duplex,Ilupeju,Lagos,1,0,0.0,2026-04-02,1200000
2 Bedroom Apartment,"Off Admiralty, Lekki Phase 1 Lekki Lagos",Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,0.0,2025-10-07,12000000
Penthouse Apartment,"Lekki Phase 1, Lagos. Lekki Phase 1 Lekki Lagos",Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,0.0,2025-11-09,10000000
Room Self Contained,Sabo Alagomeji Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,0,0,0.0,2025-11-19,1500000
3 Bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,3.0,2026-01-15,15000000
Spacious 3 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,3.0,2026-02-06,40000000
Newly Built 3 Bedroom Apartment,Parkview Estate Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,2,2,2.0,2026-03-26,20000000
3 Bedroom Apartment With Bq,Banana Island Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,3.0,2026-03-19,50000000
Self Serviced 3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,3.0,2026-03-19,15000000
Luxury 2 Bedroom Fully Furnished Apartment,"Lekki Right, Lekki Phase 1 Lekki Lagos",Luxury Apartment,Lekki,Lagos,2,2,2.0,2026-03-11,12000000
Spacious 4 Bedroom Penthouse,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,4,4,4.0,2026-03-13,20000000
Newly Built 4 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,4,4,4.0,2026-03-13,25000000
Standard Miniflat,Alapere Off Estate Road Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,1.0,2026-05-14,2300000
Newly Built And Standard Mini Flat,Palmgrove Lagos Ilupeju Lagos,Mini Flat,Ilupeju,Lagos,1,1,1.0,2026-04-12,1500000
Newly Built 3 Bedroom Flat,Adekunle Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,0,0,0.0,2026-04-21,350000
Newly Built 2 Bedroom Flat,Kemist Bus Stop Akoka Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,0,0.0,2026-03-27,850000
Newly Built 2 Bedroom Downflat,Ifako Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,2,0,0.0,2026-03-23,2800000
Newly Built Room Self Contained,Ifako Gbagada Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,1,0,0.0,2026-03-23,1500000
Fresh 2 Bedroom Ensuite Apartment,"Yaba, Lagos. Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2.0,2026-06-21,4500000
Newly Built Standard/spacious Mini Flat,Alausa Ikeja Lagos,Mini Flat,Ikeja,Lagos,1,1,1.0,2026-04-09,2700000
Miniflat,Oniru Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,1,1,1.0,2025-10-14,6000000
"A 2 Bedroom Flat, All Rooms Ensuite.",Uyo Akwa Ibom,Detached / Semi-Detached Duplex,Akwa,Akwa Ibom,0,0,0.0,2026-06-18,3000000
Newly Built Room Self Contained,Bajulaiye Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,1.0,2026-04-13,1000000
New & Fully Serviced 2 Bedroom Apartment,"Yaba, Lagos. Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,2,2,2.0,2026-06-19,4000000
1 Bedroom Apartment,Abule Oja Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,0,0.0,2026-03-30,600000
"Decent Mini Flat Bq 1t 1b All Tiled, 3 Occupants",Ifako Police Station Ifako Gbagada Gbagada Lagos,Mini Flat,Gbagada,Lagos,1,1,1.0,2026-06-23,1500000
1 Room Self Contained Flat + Car Park,Alagomeji Sabo Sabo Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,0,0,0.0,2026-06-19,1500000
1 Room Self Contained Flat,"Sabo Alagomeji Yaba, Lagos Alagomeji Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,0,0,0.0,2025-12-17,800000
Lovely Miniflat (upstairs),"Yaba, Lagos. Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,1,0,0.0,2026-06-21,2500000
Newly Built 2 Bedroom Flat,Off Orelope Egbeda Alimosho Lagos,Detached / Semi-Detached Duplex,Alimosho,Imo,3,3,3.0,2026-02-02,4000000
Mini Flat,Dpk Orchid Lekki Lagos,Mini Flat,Lekki,Lagos,0,0,0.0,2026-05-15,4800000
Serviced 3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,0.0,2026-05-15,25000000
3 Bedroom Flat,Ajao Estate Isolo Lagos,Detached / Semi-Detached Duplex,Isolo,Lagos,0,0,0.0,2026-05-19,4000000
2 Bedroom Flat,Bank Bus Stop Ijegun Ikotun Igando Lagos,Detached / Semi-Detached Duplex,Ikotun Igando,Lagos,2,2,2.0,2026-05-20,1500000
3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,0.0,2026-05-29,15000000
3 Bedroom Upper Floor,Askamaya Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,0.0,2026-05-29,5000000
Spacious Studio Apartment,Ikate Elegushi Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,0.0,2026-05-30,2500000
5 Bedroom Apartment,Parkview Estate Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,0,0,0.0,2026-05-31,70000000
Studio Apartment,Lekki County Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-03-28,2500000
2 Bedroom Flat,Alausa Ikeja Lagos,Detached / Semi-Detached Duplex,Ikeja,Lagos,0,0,0.0,2026-03-28,176000
Studio With Open Plan Kitchen,Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-03-31,2500000
Studio Apartment,Lekki County Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,0,0.0,2026-04-01,2800000
Master Bedroom In A Shared Apartment,Royal Pine Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-04-07,3300000
2 Bedroom Flat,Osapa London Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2.0,2026-04-07,6000000
2 Bedroom Flat,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2.0,2026-04-07,11000000
2 Bedroom Apartment,Orilowo Ejigbo Lagos,Detached / Semi-Detached Duplex,Ejigbo,Lagos,2,2,2.0,2026-04-10,2500000
Spacious 1 Bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-04-11,8000000
2 Bedroom Apartment,Surulere Lagos,Detached / Semi-Detached Duplex,Surulere,Lagos,2,2,2.0,2026-04-11,7000000
Big Room Upstairs,"Royal Pine, Orchid Lekki Lagos",Detached / Semi-Detached Duplex,Lekki,Lagos,1,0,0.0,2026-04-14,1900000
2 Bedroom Flat,Off Adetola Aguda Surulere Lagos,Detached / Semi-Detached Duplex,Surulere,Lagos,3,0,0.0,2026-04-28,3500000
Studio Apartment,Ikota Gra Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-04-30,2800000
Studio With Open Plan Kitchen,Ikota Gra Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-04-30,2500000
Mini Flat,Beta Estate Chevron Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,1.0,2026-04-30,4500000
Mini Flat Upstairs,Bera Chevron Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,1.0,2026-04-18,4000000
Mini Flat,Ajao Estate Isolo Lagos,Mini Flat,Isolo,Lagos,1,0,0.0,2026-04-21,1800000
Roomself Contain,Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,1.0,2026-04-28,1300000
Mini Flat,Abaranje Abaranje Ikotun Igando Lagos,Mini Flat,Ikotun Igando,Lagos,1,1,1.0,2026-04-28,800000
5 Bedroom Detached Duplex For Rent L,Orchid Lekki Lagos,Terraced Duplex,Lekki,Lagos,5,6,6.0,2026-06-02,14000000
Spacious 2 Bedroom Serviced Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2.0,2026-05-29,8000000
2bedroom Flat In Sangotedo Lagos,Sangotedo Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Edo,3,3,3.0,2026-05-27,3000000
Luxury 2bed Room Flat In Ikeja Lagos Mainland,Allen Avenue Ikeja Lagos,Luxury Apartment,Ikeja,Lagos,2,2,2.0,2026-06-01,5000000
2 Bedroom Flat,Ologolo Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,0,0.0,2026-04-27,5000000
Semi Masters Bedroom,Chevyview Estate Chevron Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-06-12,2000000
Single Room,Ikota Gra Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-06-12,1600000
Spacious Self Con,Chevron Drive Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-06-12,2800000
Masters Bedroom Studio Apartment,Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-06-12,2700000
Furnished 1 Bedroom Apartment,Off Turnbull Road Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,1,1,1.0,2026-04-22,12000000
Mini Flat,Admiralty Road Lekki Lagos,Mini Flat,Lekki,Lagos,1,0,0.0,2026-04-06,5000000
2 Bedroom Apartment,Behind Lbs Olokonla Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,2,2,2.0,2026-04-14,3000000
3 Bedroom Duplex,Ogba Lagos,Terraced Duplex,Ogba,Lagos,3,0,0.0,2026-06-18,9000000
Newly Built Mini Flat,Funsho Oka Estate By Kfarm Estate Ifako Ogba Ogba Lagos,Mini Flat,Ogba,Lagos,1,1,1.0,2026-03-04,2000000
3 Bedroom Flat,Greenville Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,3,0,0.0,2026-04-28,2500000
Newly Built 2 Bedroom Flat With Pop,Beckley Estate Abule Egba Lagos,Detached / Semi-Detached Duplex,Abule Egba,Lagos,2,2,2.0,2026-02-19,2500000
1bedroom Miniflat,Lekki County Homes Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-06-16,3500000
3 Bedroom Flat,Agidingbi Ikeja Lagos,Detached / Semi-Detached Duplex,Ikeja,Lagos,3,3,3.0,2026-04-24,6500000
3 Bedroom Flat,Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,3.0,2026-04-23,7000000
Room Self Contain,Palm Avenue Mushin Mushin Lagos,Detached / Semi-Detached Duplex,Mushin,Lagos,0,0,0.0,2026-06-22,1200000
3 Bedroom Flat,Osapa London Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,0,0.0,2026-04-20,5000000
Mini Flat,Osapa London Lekki Lagos,Mini Flat,Lekki,Lagos,1,0,0.0,2026-05-10,4500000
Selfcontain With Personal Kitchen,Ikota Gra Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-05-23,1900000
Mini Flat,Badore Ajah Lagos,Mini Flat,Ajah,Lagos,1,1,1.0,2026-05-20,1200000
1 Bedroom Apartment For Rent,Queens Drive Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,1,1,1.0,2026-02-24,16000000
Unfurnished Semi Masters Bedroom,Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-06-12,1600000
Studio Apartment,Osapa London Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,0.0,2026-06-19,3700000
Newly Serviced 3 Bedroom Flat With Bq,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,3.0,2026-06-18,20000000
Fully Furnished 1bedroom Miniflat,Buena Vista Estate Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,1.0,2026-06-18,4500000
