Title,Address,Property Type,Location,State,Bedrooms,Bathrooms,Date Listed,Prices
Standard Furnished 3 Bedroom Flat,Gerard Road Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,2026-06-02,60000000
Mini Flat,Ibeju Lekki Ajah Lagos,Mini Flat,Ajah,Lagos,0,0,2026-05-29,1300000
Master's Bedroom,Royal Pine Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-03-14,2800000
Single Room Sharing Kitchen With 1 Person,Osapa London Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-09,2000000
Furnished 3 Bedroom Flat With Bq,Off Bourdillion Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,2026-05-06,65000000
Studio Apartment,Osapa London Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-09,3500000
Spacious Standard 2 Bedroom Flat,Rock Stone Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,2,3,2026-06-08,2500000
Luxury Standard Spacious 2 Bedroom Apartment.,"Mobil Road, Ilaje. Ilaje Ajah Lagos",Luxury Apartment,Ajah,Lagos,2,3,2026-06-08,6000000
Spacious 3 Bedroom Apartment,Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,2026-05-19,35000000
Furnished 3 Bedroom Apartment,Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,2026-05-20,55000000
Spacious 3 Bedroom Flat In Old Ikoyi,Gerard Road Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,2026-05-30,35000000
Fully Furnished 3 Bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-06-09,25000000
3 Bedroom Apartment,Phase 1 Magodo Kosofe Ikosi Lagos,Detached / Semi-Detached Duplex,Kosofe Ikosi,Lagos,0,0,2026-05-29,3500000
Furnished 3 Bedroom Apartment With Bq,Off Alfred Rewane Road By American Tobbacco Office Gerard Road Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,2026-06-09,39000000
Serviced 3 Bedroom Penthouse With Bq,Ilasan Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-05-20,14000000
Very Specious Mini Flat Apartment,Ikate Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,2026-06-04,4500000
Semi Masters Bedroom Upstairs,Royal Pine Gate 1 Estate Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-09,1900000
2 Unit Of Single Room Shared Apartment,Oral Estate Extention Oral Estate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-09,1800000
Serviced 1bedroom Miniflat With Fully Fitted Kitchen,Royal Pine Estate Victoria Bay Estate Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-09,5000000
Magnificent Waterfront 3 Bedroom Flat,Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,2026-06-02,80000000
Exquisite One Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,0,2026-06-03,6000000
Roomself Contain,Ifako Gbagada Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,0,0,2026-05-29,1300000
2 Bedroom Apartment,Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,2,2,2026-04-30,30000000
Standard 2 Bedroom Flat.well Maintained.,"Mobil Road, Ilaje. Mobil Road Ajah Lagos",Detached / Semi-Detached Duplex,Ajah,Lagos,2,3,2026-06-08,3000000
Very Specious 3 Bedroom Flat Apartment,Chevron Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,2,2026-05-23,5000000
Furnished 2 Bedroom Flat,Onike Estate Onike Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,2,3,2026-04-27,8000000
2 Bedroom Apartment,Off Idowu Rufai Ago Palace Okota Lagos,Detached / Semi-Detached Duplex,Okota,Lagos,0,0,2026-05-29,3500000
Newly Built 3 Bedroom Apartment,Osapa London Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-06-07,10000000
Stand Alone Mini Flat With 24hrs Power,Ikota Villa Estate Ikota Lekki Lagos,Mini Flat,Lekki,Lagos,1,2,2026-06-09,3200000
Luxury Spacious 2 Bedroom With Gym,Even Estate. Ado Ajah Lagos,Luxury Apartment,Ajah,Lagos,2,3,2026-06-19,2500000
