Title,Address,Property Type,Location,State,Bedrooms,Bathrooms,Date Listed,Prices
Single Room Apartment,Chevron Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-04-03,1500000
1 Room Self Contain,Ado Road Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-02-24,700000
Specious Master Bedroom Shared Apartment,Lekki County Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-06-14,2500000
Spacious 3 Bedroom Flat,Guzape Abuja,Detached / Semi-Detached Duplex,Guzape,Abuja,3,3,2026-05-19,6500000
Service 2bedroon Flat With Gym,Ologolo Ologolo Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-22,8000000
Fully Furnished 3bedroom With Olympic Pool And Gym,Banana Island Banana Island Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,2026-06-16,75000000
2 Bedroom Apartment 2 People To Share Kitchen,Oral Extension Oral Estate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-06-15,4600000
Newly Built Mini Flat,Plamgrove Shomolu Lagos Palmgrove Shomolu Lagos,Mini Flat,Shomolu,Lagos,1,1,2026-06-22,1600000
Very Neat Room And Parlour Selfcon,White House Oke Badan Estate Akala Akobo Ibadan Oyo,Detached / Semi-Detached Duplex,Ibadan,Oyo,1,1,2026-06-22,1200000
Luxury 2 Bedroom Apartment At Abijo Gra,Abijo Ajah Lagos,Luxury Apartment,Ajah,Lagos,2,3,2026-06-18,3000000
Newly Built Room Self Contain,Palmgrove Shomolu Lagos Palmgrove Shomolu Lagos,Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-06-22,1700000
1 Bedroom Flat,"At Okotie Eboh Street, Old Ikoyi Ikoyi Lagos",Detached / Semi-Detached Duplex,Ikoyi,Lagos,1,1,2026-03-03,20000000
"2 Bedroom Apartment (sawmill, Gbagada)",Sawmill Gbagada Lagos Gbagada Phase 1 Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,2,2,2026-06-20,5000000
3 Bedroom Flat With Bq,Guzape Abuja,Detached / Semi-Detached Duplex,Guzape,Abuja,3,3,2026-04-27,10000000
2 Bedroom Apartment,Cooperative Road Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-02-24,2000000
A Massive Renovated/fantastic Mini Flat,"Off Admiralty Way, Lekki Phase 1 Lekki Lagos",Mini Flat,Lekki,Lagos,1,1,2026-05-22,7500000
A Newly Built Executive Mini Flat,At Off Saint Finbers Road Akoka Yaba Lagos,Mini Flat,Yaba,Lagos,1,2,2026-03-06,3000000
Mini Flat,Alhaja Eleshi Ogudu Lagos,Mini Flat,Ogudu,Lagos,1,2,2026-05-08,2000000
Standard Mini Flat Apartment,Spg Rd Igbo Efon Lekki Spg Road Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,2026-05-27,4000000
2 Bedroom Flat,Seaside Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2025-09-08,2500000
1 Room In Shared Apartment,"Boss Man , Dpk Estate, Orchid Lekki Lagos",Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2025-08-24,1500000
Room Self Contained In A Shared Apartment,Rockstone Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2025-06-21,700000
2 Bedroom Bungalow,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,0,2026-01-15,10000000
Spacious Mini Flat,"Salem,ilasan, Ikate Lekki Lagos",Mini Flat,Lekki,Lagos,0,0,2026-03-04,4000000
Spacious 2 Bedroom Apartment,Royal Palmwill Estates Remlek Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-03-19,2800000
Fully Furnished Mini Flat,"Peace Estate, Badore Ajah Lagos",Mini Flat,Ajah,Lagos,0,0,2026-03-23,3000000
Mini Flat,Seaside Estates Badore Ajah Lagos Badore Ajah Lagos,Mini Flat,Ajah,Lagos,0,0,2026-04-02,1700000
4 Bedroom Terraced Duplex,Parkview Estate Ikoyi Lagos,Self Contain / Shared Room,Ikoyi,Lagos,0,0,2025-08-17,20000000
2 Bedroom Flat,Seaside Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2025-08-18,2700000
Mini Flat,Unity Estate Badore Ajah Lagos,Mini Flat,Ajah,Lagos,0,0,2025-09-29,1600000
2 Bedroom Apartment,Seaside Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2025-12-05,1800000
Luxurious Self Contain Apartment,Royal Palm Will Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-05-03,1000000
Newly Built 2 Bedroom Apartment,"Morad Estate, Ayobo Ipaja Lagos",Detached / Semi-Detached Duplex,Ipaja,Lagos,0,0,2026-01-22,2700000
Brand New 2 Bedroom Flat Upstairs And Downstairs,"Unity Estates, Badore Ajah Lagos",Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2025-11-10,2000000
Newly Built 2 Bedroom Flat,Close To Estates Gate Seaside Estates Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2025-11-17,3500000
Brand New 2bedroom Flat Upstairs And Downstairs,Igbo Efo Estate Lekki Lagos Igbo Efon Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-06-18,6000000
Brand New 3bedroom Flat Apartment Upstairs,Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-06-17,3500000
Luxury 3bedroom With Bq On 6th Floor,Lekki Phase 1 Lekki Lagos,Luxury Apartment,Lekki,Lagos,0,0,2026-06-18,20000000
Furnished 3 Bedroom Terrace Duplex,"Monastery Road, Sangotedo Ajah Lagos",Self Contain / Shared Room,Ajah,Edo,0,0,2026-03-12,7000000
Spacious Mini Flat With Personal Kitchen,"Ikota Gra, Lekki Lagos",Mini Flat,Lekki,Lagos,0,0,2026-01-19,3500000
Furnished 2 Bedroom Apartment,Happyland Estates Sangotedo Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Edo,0,0,2026-01-20,6500000
Luxury 3 Bedroom Apartment,"Glover Road, Ikoyi Lagos",Luxury Apartment,Ikoyi,Lagos,0,0,2026-01-10,35000000
Sharp 3 Bedroom Flat Upstairs,"Seaside Estate, Badore Ajah Lagos",Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-04-17,3600000
Mini Flat,Ikate Lekki Lagos,Mini Flat,Lekki,Lagos,0,0,2026-04-17,3000000
Mini Flat,Royal Pine Estate Orchid Lekki Lagos,Mini Flat,Lekki,Lagos,0,0,2026-04-22,5000000
Standard 2 Bedroom Flat,Cooperative Road Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-04-15,2200000
Studio Apartment,Lekki County Ikota Lagos Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-04-28,3400000
3 Bedroom Apartment,Kayode Street Lekki Phase I Lagos Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-04-24,18000000
4 Bedroom Apartment,Oniru Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,0,0,2026-02-26,30000000
3 Bedroom Apartment,Ado Road Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-02-24,2200000
3 Bedroom With Bq,Banana Island Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,0,0,2026-02-24,60000000
Room Self Contained,Unity Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-02-26,700000
One Room Shared Apartment,Unity Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-04-15,700000
One Room Shared Apartment,Sunnyvilla Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-04-15,850000
Specious Mini Flat,"Harris Drive, Vgc Lekki Lagos",Mini Flat,Lekki,Lagos,0,0,2026-02-25,4500000
New Mini Flat,"Rockstone Estate, Badore Ajah Lagos",Mini Flat,Ajah,Lagos,0,0,2026-04-17,2200000
Shared Apartment,Orchid Road Lekki Phase 2 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-01-25,1900000
Luxury Studio Apartment,Chevyview Chevron Lekki Lagos,Luxury Apartment,Lekki,Lagos,0,0,2026-02-10,3000000
Master Bedroom In A Shared Apartment,Westend Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-01-20,2900000
Semi Master Bedroom In A Shared Apartment,Chevron Drive Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-01-20,2500000
Mini Flat,Chevron Alternative Lekki Lagos,Mini Flat,Lekki,Lagos,0,0,2026-01-20,4500000
Mini Flat,Orchid Road Lekki Phase 2 Lekki Lagos,Mini Flat,Lekki,Lagos,0,0,2026-01-25,2600000
Luxurious Room Self Contained In A Shared Apartment,Greeny Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-01-16,700000
Room Self Contained In A Shared Apartment,Royal Pine Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-02-26,1800000
Luxurious 3 Bedroom Flat,Greenville Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,2,0,2026-02-03,3500000
Luxurious Mini Flat,"Unity, Badore Ajah Lagos",Mini Flat,Ajah,Lagos,0,0,2026-02-03,1800000
A Fully Furnished 3 Bedroom Apartment With Bq,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,0,2026-04-17,25000000
Newly Renovated Apartment For Rent,Ile Marun Express Road Iwo Road Behind Mfm Church Ibadan North Oyo,Detached / Semi-Detached Duplex,North,Oyo,10,10,2026-06-19,1500000
Newly Built Master Bedroom In A Duplex,Royal Pine 3 Estates Orchid Lekki Lagos,Terraced Duplex,Lekki,Lagos,0,0,2026-01-05,3500000
2 Bedroom Apartment,Thera Peace Estate Sangotedo Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Edo,0,0,2026-02-06,3200000
Fully Furnished Room And Parlour Self Contained,"Mobil Road, Ilaje Ajah Lagos",Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-02-19,3000000
2 Bedroom Apartment,Remlek Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-02-13,2500000
A Room In A Shared Apartment,Greenville Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-01-19,700000
Room Self Contained,Greenville Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-02-04,600000
Room In A Shared Apartment,Unity Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-02-06,750000
3 Bedroom Apartment,Unity Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2025-12-07,2500000
3 Bedroom Apartment,Seaside Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2025-12-24,3000000
Shared Apartment,Royal Pine Estate Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-02-26,1800000
Shared Apartment,Royal Pine Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-03-24,1700000
2 Bedroom Apartment,Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-02-27,2500000
Mini Flat,Badore Ajah Lagos,Mini Flat,Ajah,Lagos,0,0,2026-03-11,2000000
Studio Apartment,Jadevile Chevron Alternative Route Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-03-12,1200000
Studio Apartment,Chevron Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-02-27,3500000
Room Self Contained In A Shared Apartment,Lekki Conservation Centre Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-02-26,1700000
3 Bedroom Terrace Duplex,Seaside Estate Badore Ajah Lagos,Self Contain / Shared Room,Ajah,Lagos,3,0,2026-02-26,3000000
2 Bedroom Apartment,Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,0,2025-11-09,6000000
Mini Flat,Greenville Estates Badore Ajah Lagos Badore Ajah Lagos,Mini Flat,Ajah,Lagos,0,0,2026-05-18,1500000
2 Bedroom Flat,Seaside Estates Badore Ajah Lagos Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-05-18,2000000
2 Bedroom Bungalow,Vina Call/code To Access Estates Badore Ajah Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,2,2,2026-05-11,3500000
Spacious Room And Palor,Chevron Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-04-03,4500000
Large Single Room Upstairs,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-04-03,2500000
Extra Large Furnished Master's Room,Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-04-03,1050000
Single Room,Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-03-25,1350000
Large Master's Bedroom,Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-04-03,3500000
Large Studio Apartment With Private Kitchen,South Drift Estate Mobil Road Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,1,1,2026-04-03,1650000
"Extra Large Master, Balcony,jaccuzi, Closet",Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-02,3500000
"Large Miniflat, Large Palor,large Room, 20hrs Powr",Victoria Crest 2 Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-02,2500000
"Extra Large Studio With 20hrs Powr, Private Kitchen",Royal Pine Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,0,2026-06-02,4000000
Large Single Room With 20hrs Powr,Oral Estate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-02,1600000
Large Studio Apartment,Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-04-03,2800000
Luxury Fully Furnished 2 Bedroom Apartment,Ikoyi Lagos,Luxury Apartment,Ikoyi,Lagos,2,2,2026-04-03,40000000
Luxury 2 Bedroom Apartment Around Lakowe Golf,Lakowe Ajah Lagos,Luxury Apartment,Ajah,Lagos,2,3,2026-06-10,3000000
Single Room Upstairs In Ikate Lakki Lagos,Ikate Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-06-08,2500000
Spacious Studio Apartment With Open Plan Kitchen,Agungi Agungi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-06-08,3500000
2bedroon Flat In Ikate Lekki Phase 1,Ikate Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-08,7000000
Massive 3bedroom With Daning Table,River Valley Estate Berger Ojodu Lagos,Detached / Semi-Detached Duplex,Ojo,Lagos,3,3,2026-06-05,6000000
Studio,Oral Estate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-03-25,3500000
Extra Large Studio Wth Private Kitchen. 10 Months,Oral Estate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-06-02,3200000
Large Single Room Upstairs 20hrs Powr,Oral Estate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-06-02,2100000
Large Studio Eith Private Kitchen For 9 Months,Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-06-02,2600000
"Large Studio With Private Kitchen, 20hrs Powr",Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-05,2800000
Large Single Room Upstairs For 9 Months,Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-05,1400000
Newly Built Spacious Executive Mini Flat,Ogudu Gra Ogudu Lagos,Mini Flat,Ogudu,Lagos,1,1,2026-06-12,6000000
Newly Built 3 Bedroom Apartment,"Jahi Gilmore, Abuja Jahi Abuja",Detached / Semi-Detached Duplex,Jahi,Abuja,3,4,2026-04-08,12000000
Furnished 2 Bedroom Apartment,Ologolo Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,3,2026-03-09,8000000
Standard Miniflat,Akoka Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,2026-05-08,2000000
A Spacious Miniflat,"Akoka, Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,2026-05-08,2200000
Standard Room Self Contain Apartment,"Akoka, Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,2026-05-08,1500000
Furnished 2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-05-12,17000000
Standard 3 Bedroom Flat,"No. 13, Olabisi Osho Street, Off Deeper Life Church, Close To Medina Estate, Gbagada Lagos",Detached / Semi-Detached Duplex,Epe,Lagos,3,3,2026-05-15,145000000
A Standard And Newly Built Roomself Contain,"Akoka, Yaba, Lagos Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,2026-05-23,1500000
Mini Flat,"Abule Ijesha, Yaba, Lagos Yaba Lagos",Mini Flat,Yaba,Lagos,1,1,2026-05-18,2200000
Newly Built 2 Bedroom Apartment,Ologolo Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-16,9000000
2 Bedroom Flat,Ologolo Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-16,7000000
2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-05-04,22000000
Furnished 2 Bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-05-05,15000000
Spacious 2 Bedroom Apartment,Chevron Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-04-22,6000000
"3 Bedroom Flat For Rent In Lekki Phase 1, Lagos",Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-06-02,17000000
3 Bedroom Flat For Rent In Lekki Phase 1,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-06-02,14000000
2 Bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-03-23,12000000
2 Bedroom Fully Furnished Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-04-09,12000000
Deluxe 1 Bedroom Flat,Agungi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-02-08,3500000
Shared Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-04-30,2000000
"To Let – 2 Bedroom Apartment In Ikate, Lekki",Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-11,7000000
A Standard Roomself Contain,"Ilupeju, Lagos Ilupeju Lagos",Detached / Semi-Detached Duplex,Ilupeju,Lagos,1,1,2026-05-28,1200000
Room Self Contain,Gwarinpa Gwarinpa Abuja,Detached / Semi-Detached Duplex,Gwarinpa,Abuja,0,0,2026-04-20,1800000
Room In A Shared Apartment,Unity Estate Awoyaya Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2025-10-14,650000
Well Finished 2bedroom Apartment,In An Estate Gwarinpa Extension Gwarinpa Abuja,Detached / Semi-Detached Duplex,Gwarinpa,Abuja,2,3,2026-06-20,3500000
Fully Furnished 2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-03-31,25000000
Beautiful Studio Self Contain,Gwarinpa Gwarinpa Abuja,Detached / Semi-Detached Duplex,Gwarinpa,Abuja,0,0,2026-06-04,1500000
A Spacious 3bed Apartment,"Off Shipeolu Street, Shomolu, Lagos Shomolu Lagos",Detached / Semi-Detached Duplex,Shomolu,Lagos,3,3,2026-06-01,4000000
A Standard Mini Flat,"Off Estate Road, Alapere, Ketu Lagos",Mini Flat,Ketu,Lagos,1,1,2026-05-22,2300000
Magnificently Furnished 1 Bedroom Flat,Area 11 Garki 2 Abuja,Detached / Semi-Detached Duplex,2,Abuja,1,1,2026-05-19,5500000
1 Room In A Shared Apartment,"Boss Man, Dpk Road 2 Estate, Orchid Lekki Lagos",Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2025-08-24,1300000
1 Bedroom Mini Flat,Osapa London Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,2026-05-18,4500000
Shared Apartment,Peace Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2025-09-25,700000
2 Bedroom Apartment Fully Furnished,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-04-03,20000000
"Standard 1 Bedroom Miniflat,kitchen,water 22 24hrs Powr",Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-14,4000000
Super Spacious Mini Flat,Soluyi Gbagada Lagos Lagos Soluyi Gbagada Lagos,Mini Flat,Gbagada,Lagos,1,1,2026-06-20,2700000
Well Maintained Mini Flat,"Off Off Pedro Road, Shomolu, Lagos Shomolu Shomolu Lagos",Mini Flat,Shomolu,Lagos,1,1,2026-06-22,2000000
A Neatly Renovated And Standard Roomself Con,"Akoka, Yaba, Lagos Akoka Yaba Lagos",Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,2026-06-09,1200000
3 Bedroom Flat,Katampe Main Abuja,Detached / Semi-Detached Duplex,Main,Abuja,3,3,2026-05-24,8000000
Standard 3 Bedroom Flat With Bq,Wuse 2 Abuja,Detached / Semi-Detached Duplex,2,Abuja,3,3,2026-04-29,13000000
Studio Apartment,6th Avenue Gwarinpa Abuja,Detached / Semi-Detached Duplex,Gwarinpa,Abuja,1,0,2025-12-23,1600000
Mini Flat,Badore Ajah Lagos,Mini Flat,Ajah,Lagos,1,1,2026-06-05,1400000
Studio Apartment,Lekki Conservation Centre Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-02-26,3000000
Standard Miniflat,Ebute Metta East Yaba Lagos,Detached / Semi-Detached Duplex,Yaba,Lagos,1,1,2026-05-19,2000000
1 Bedroom Flat,Off Glover Road Bourdillon Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,1,1,2026-04-08,15000000
Shared Apartment,Seaside Estate Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2025-08-18,800000
1 Room Shared Apartment,"West End Estate, Lekki County Ikota Lekki Lagos",Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2025-12-24,1500000
1 Bedroom Apartment,Ilasan Ikate Lekki Ilasan Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-03-18,4000000
"3 Bedroom Flat For Rent In Chevron Toll Gate, Lekki",Chevron Toll Gate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-06-08,7000000
Luxurious Self Contained In A Shared Apartment,Royal Pine Orchid Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-01-16,1200000
Newly Built And Spacious Studio Apartment,"Off Williams Street, By Gtbank Gbagada Lagos",Detached / Semi-Detached Duplex,Gbagada,Lagos,1,1,2026-05-08,1300000
Self Contain Apartment,Wuse 1 Abuja,Detached / Semi-Detached Duplex,1,Abuja,0,0,2026-05-14,2000000
3 Bedroom Service Apartment,Freedom Way Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Edo,3,3,2026-04-13,20000000
A Standard Miniflat,"Ogudu Gra, Kosofe, Lagos Kosofe Ikosi Lagos",Detached / Semi-Detached Duplex,Kosofe Ikosi,Lagos,1,1,2026-05-23,3000000
"1 Bedroom Miniflat,kitchen,water 22 24hrs Powr",Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-05-18,5000000
Room Self Contained,Chevron Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-04-24,2500000
2/3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-03-31,30000000
Spacious Studio Apartment In Bera Estate Chevron Drive,Bera Estate Chevron Drive Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-06-08,3500000
Single Bedroom In Shared Apartment,Ikota Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-03-29,1600000
Sweet Mini Flat,New Garage Gbagada Lagos New Garage Gbagada Lagos,Mini Flat,Gbagada,Lagos,1,1,2026-06-22,1800000
Mini Flat,Eleganza Gardens At Vgc Bus Stop Lekki Lagos,Mini Flat,Lekki,Lagos,1,1,2026-04-18,3000000
Room Self Contained,Naf Valley Estate Asokoro Abuja,Detached / Semi-Detached Duplex,Asokoro,Abuja,0,0,2026-04-23,2500000
1 Bedroom Flat,Naf Valley Estate Asokoro Asokoro Abuja,Detached / Semi-Detached Duplex,Asokoro,Abuja,1,1,2026-05-07,5000000
Spacious Shared Apartment Two Share Toilet,Goodness Okeira Nla Ado Road Ajah Lagos Ado Road Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,0,0,2026-06-19,450000
2 Bedroom Apartment,Abijo Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,2,3,2026-02-19,2200000
2 Bedroom Flat,Close To Stella Maris Life Camp Abuja,Detached / Semi-Detached Duplex,Camp,Abuja,2,2,2026-05-17,4000000
Selfcon,Unity Estate Badore Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,1,1,2026-06-17,600000
A Room In Secured Building,Chevron Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-06-13,2000000
Spacious Self Contain,Gwarinpa Gwarinpa Abuja,Detached / Semi-Detached Duplex,Gwarinpa,Abuja,0,0,2026-06-03,1600000
Studio Apartment,Lekki Phase One Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-03-18,7000000
A Standard Miniflat,"Off Shipeolu Street, Shomolu Shomolu Lagos",Detached / Semi-Detached Duplex,Shomolu,Lagos,1,1,2026-06-01,2000000
2 Bedroom Flat,Ogidan Sangotedo Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Edo,0,0,2025-09-25,3000000
3 Bedroom Flat,Guzape Guzape Abuja,Detached / Semi-Detached Duplex,Guzape,Abuja,3,3,2026-04-20,10000000
Spacious 3bedroom Flat In Idado Lekki 1,Idado Estate Idado Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-06-08,6500000
Clean Mini Flat,Alagomeji Yaba Lagos Alagomeji Yaba Lagos,Mini Flat,Yaba,Lagos,1,1,2026-06-23,2000000
